scale_factor,SQL,OQL,MQL,N1QL,XQuery,DCQL
1,9.93,7.877,7.14,80.98,29.86,5.89
5,10.13,8.567,7.36,82.52,37.36,6.33
10,13.90,9.157,7.96,83.83,45.68,6.57
50,14.68,35.307,8.09,85.55,48.37,6.69
100,15.46,39.697,8.16,87.32,,6.85
500,25.07,46.683,8.22,,,7.70
1000,26.54,50.117,8.36,,,8.5
