language,syntactic_S,semantic_L,value_V,minor_M
SQL,0.125,0.58,0.145,0.15
OQL,0.2,0.62,0.08,0.1
MQL,0.45,0.15,0.1,0.3
N1QL,0.15,0.55,0.15,0.15
XQuery,0.38,0.25,0.12,0.25
JSONiq,0.35,0.28,0.12,0.25
DCQL,0.13,0.6,0.16,0.11
